tarefa,n,k,threads,chunk,tempo
tarefa_a_seq,100000,20,1,NA,0.076937
tarefa_a_seq,100000,20,1,NA,0.078017
tarefa_a_seq,100000,20,1,NA,0.076541
tarefa_a_seq,100000,20,1,NA,0.076443
tarefa_a_seq,100000,20,1,NA,0.075479
tarefa_a_static,100000,20,1,NA,0.075666
tarefa_a_static,100000,20,1,NA,0.077165
tarefa_a_static,100000,20,1,NA,0.074662
tarefa_a_static,100000,20,1,NA,0.078176
tarefa_a_static,100000,20,1,NA,0.078313
tarefa_a_dynamic,100000,20,1,1,0.077938
tarefa_a_dynamic,100000,20,1,1,0.075193
tarefa_a_dynamic,100000,20,1,1,0.076440
tarefa_a_dynamic,100000,20,1,1,0.077051
tarefa_a_dynamic,100000,20,1,1,0.077479
tarefa_a_guided,100000,20,1,1,0.079563
tarefa_a_guided,100000,20,1,1,0.078654
tarefa_a_guided,100000,20,1,1,0.077490
tarefa_a_guided,100000,20,1,1,0.076663
tarefa_a_guided,100000,20,1,1,0.075015
tarefa_a_dynamic,100000,20,1,4,0.078126
tarefa_a_dynamic,100000,20,1,4,0.077380
tarefa_a_dynamic,100000,20,1,4,0.078103
tarefa_a_dynamic,100000,20,1,4,0.076566
tarefa_a_dynamic,100000,20,1,4,0.078970
tarefa_a_guided,100000,20,1,4,0.077051
tarefa_a_guided,100000,20,1,4,0.074113
tarefa_a_guided,100000,20,1,4,0.075833
tarefa_a_guided,100000,20,1,4,0.075925
tarefa_a_guided,100000,20,1,4,0.074676
tarefa_a_dynamic,100000,20,1,16,0.080384
tarefa_a_dynamic,100000,20,1,16,0.078178
tarefa_a_dynamic,100000,20,1,16,0.077522
tarefa_a_dynamic,100000,20,1,16,0.074204
tarefa_a_dynamic,100000,20,1,16,0.075595
tarefa_a_guided,100000,20,1,16,0.073325
tarefa_a_guided,100000,20,1,16,0.073554
tarefa_a_guided,100000,20,1,16,0.074570
tarefa_a_guided,100000,20,1,16,0.077686
tarefa_a_guided,100000,20,1,16,0.075063
