=== RESUMO ESTATÍSTICO ===

TAREFA A - LAÇO IRREGULAR
----------------------------------------------------------------------------------------------------
          tarefa       n    k  threads      mean      std  chunk
    tarefa_a_seq  100000 20.0        1  0.076683 0.000918    NaN
    tarefa_a_seq  100000 24.0        1  0.460570 0.001932    NaN
    tarefa_a_seq  100000 28.0        1  2.694180 0.013830    NaN
    tarefa_a_seq  500000 20.0        1  0.376606 0.002112    NaN
    tarefa_a_seq  500000 24.0        1  2.286093 0.012183    NaN
    tarefa_a_seq  500000 28.0        1 13.393388 0.023378    NaN
    tarefa_a_seq 1000000 20.0        1  0.761741 0.006137    NaN
    tarefa_a_seq 1000000 24.0        1  4.584090 0.025349    NaN
    tarefa_a_seq 1000000 28.0        1 26.927754 0.206507    NaN
 tarefa_a_static  100000 20.0        1  0.076796 0.001595    NaN
 tarefa_a_static  100000 20.0        2  0.041571 0.003797    NaN
 tarefa_a_static  100000 20.0        4  0.026109 0.004069    NaN
 tarefa_a_static  100000 20.0        8  0.018991 0.000677    NaN
 tarefa_a_static  100000 20.0       16  0.019902 0.001229    NaN
 tarefa_a_static  100000 24.0        1  0.468015 0.002175    NaN
 tarefa_a_static  100000 24.0        2  0.248135 0.014615    NaN
 tarefa_a_static  100000 24.0        4  0.155919 0.007718    NaN
 tarefa_a_static  100000 24.0        8  0.105608 0.002811    NaN
 tarefa_a_static  100000 24.0       16  0.100582 0.004371    NaN
 tarefa_a_static  100000 28.0        1  2.716795 0.021154    NaN
 tarefa_a_static  100000 28.0        2  1.436720 0.033234    NaN
 tarefa_a_static  100000 28.0        4  0.863921 0.010555    NaN
 tarefa_a_static  100000 28.0        8  0.592592 0.013579    NaN
 tarefa_a_static  100000 28.0       16  0.556448 0.025582    NaN
 tarefa_a_static  500000 20.0        1  0.368875 0.007978    NaN
 tarefa_a_static  500000 20.0        2  0.198580 0.009957    NaN
 tarefa_a_static  500000 20.0        4  0.115277 0.008989    NaN
 tarefa_a_static  500000 20.0        8  0.086617 0.004314    NaN
 tarefa_a_static  500000 20.0       16  0.077425 0.002001    NaN
 tarefa_a_static  500000 24.0        1  2.289160 0.007233    NaN
 tarefa_a_static  500000 24.0        2  1.253030 0.042304    NaN
 tarefa_a_static  500000 24.0        4  0.733034 0.025877    NaN
 tarefa_a_static  500000 24.0        8  0.494956 0.016332    NaN
 tarefa_a_static  500000 24.0       16  0.455020 0.009901    NaN
 tarefa_a_static  500000 28.0        1 13.482387 0.055457    NaN
 tarefa_a_static  500000 28.0        2  7.302956 0.086172    NaN
 tarefa_a_static  500000 28.0        4  4.253458 0.049492    NaN
 tarefa_a_static  500000 28.0        8  2.899166 0.029150    NaN
 tarefa_a_static  500000 28.0       16  2.682212 0.025358    NaN
 tarefa_a_static 1000000 20.0        1  0.735670 0.005451    NaN
